Supplier Part Number,Part Description,Category L1,Category L2,Category L3,Category L4,Supplier,Part Description - Cleaned,Category L1 - Cleaned,Category L2 - Cleaned,Category L3 - Cleaned,Category L4 - Cleaned,predicted_label,predicted_distance,predicted_similarity,topk_labels,topk_distances,topk_similarities
1236748,304354,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,304354,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6601858258247376,0.3398141741752624,"Automation Mechanical, Gasses, Tools","0.6602, 0.6678, 0.7265","0.3398, 0.3322, 0.2735"
1951997,"KQ2H08-00A FITTING, STR UNION",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h08 00a fitting str union,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Gasses,0.6486552357673645,0.3513447642326355,"Gasses, Automation Mechanical, Tools","0.6487, 0.6550, 0.7350","0.3513, 0.3450, 0.2650"
1952056,"KQ2U08-00A FITTING, UNION Y",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2u08 00a fitting union y,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Gasses,0.6427039504051208,0.35729604959487915,"Gasses, Automation Mechanical, Tools","0.6427, 0.6522, 0.7384","0.3573, 0.3478, 0.2616"
1991879,"KQ2H06-U03A FITTING, UNIFIT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h06 u03a fitting unifit,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6537501931190491,0.34624980688095086,"Automation Mechanical, Gasses, Tools","0.6538, 0.6573, 0.7409","0.3462, 0.3427, 0.2591"
1992387,"KQ2L01-U02A FITTING, UNIFIT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2l01 u02a fitting unifit,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6572129130363464,0.34278708696365356,"Automation Mechanical, Gasses, Tools","0.6572, 0.6613, 0.7437","0.3428, 0.3387, 0.2563"
1992522,"KQ2L06-M5A FITTING, MALE ELBOW",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2l06 m5a fitting male elbow,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6515273213386537,0.34847267866134635,"Automation Mechanical, Gasses, Tools","0.6515, 0.6608, 0.7086","0.3485, 0.3392, 0.2914"
1992563,"KQ2L07-U01A FITTING, UNIFIT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2l07 u01a fitting unifit,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6557039141654969,0.3442960858345031,"Automation Mechanical, Gasses, Tools","0.6557, 0.6614, 0.7432","0.3443, 0.3386, 0.2568"
1992878,"KQ2L10-01AS FITTING, MALE ELBOW",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2l10 01as fitting male elbow,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6568896412849428,0.34311035871505724,"Automation Mechanical, Gasses, Tools","0.6569, 0.6643, 0.7095","0.3431, 0.3357, 0.2905"
2004007,"T0604B-20  TUBING, NYL. 20M ROLL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,t0604b 20 tubing nyl 20m roll,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6343376874923707,0.36566231250762926,"Automation Mechanical, Gasses, Tools","0.6343, 0.6442, 0.7050","0.3657, 0.3558, 0.2950"
2004044,"T0806W-20  TUBING, NYL. 20M ROLL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,t0806w 20 tubing nyl 20m roll,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.6301460623741151,0.3698539376258849,"Automation Mechanical, Gasses, Tools","0.6301, 0.6373, 0.6997","0.3699, 0.3627, 0.3003"
