Supplier Part Number,Part Description,Category L1,Category L2,Category L3,Category L4,Supplier,Part Description - Cleaned,Category L1 - Cleaned,Category L2 - Cleaned,Category L3 - Cleaned,Category L4 - Cleaned
99999999,TKVD45G3X1308 RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,tkvd45g3x1308 rail,bearings,linear products,linear products,uncoded linear products
99999999,N1H453280Z G=65,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,n1h453280z g 65,bearings,linear products,linear products,uncoded linear products
99999999,N1H450905Z G=32.5,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,n1h450905z g 32 5,bearings,linear products,linear products,uncoded linear products
99999999,NAH45EMZ-L1,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,nah45emz l1,bearings,linear products,linear products,uncoded linear products
99999999,HRW27CR1UU+160L,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,hrw27cr1uu 160l,bearings,linear products,linear products,uncoded linear products
99999999,SHS15-1240L G1=G2,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,shs15 1240l g1 g2,bearings,linear products,linear products,uncoded linear products
99999999,HSR25-465L(GK),BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,hsr25 465l gk,bearings,linear products,linear products,uncoded linear products
99999999,BM-15 BEARING MOUNT BASE,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,bm 15 bearing mount base,bearings,linear products,linear products,uncoded linear products
99999999,SRS7MUU+80LM  G=10/10  BLOCK & RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,srs7muu 80lm g 10 10 block rail,bearings,linear products,linear products,uncoded linear products
99999999,"HSR30-C-2-SS+525L G=G=22.5, RAIL",BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,hsr30 c 2 ss 525l g g 22 5 rail,bearings,linear products,linear products,uncoded linear products
99999999,N1H301058 RAIL,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,n1h301058 rail,bearings,linear products,linear products,uncoded linear products
99999999,N1H251130-Z RAIL G=25/25,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,n1h251130 z rail g 25 25,bearings,linear products,linear products,uncoded linear products
99999999,C6 CAPS,BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,c6 caps,bearings,linear products,linear products,uncoded linear products
99999999,2'' CLASS L X 66'',BEARINGS,LINEAR PRODUCTS,LINEAR PRODUCTS,UNCODED LINEAR PRODUCTS,Motion,2 class l x 66,bearings,linear products,linear products,uncoded linear products
