Supplier Part Number,Part Description,Category L1,Category L2,Category L3,Category L4,Supplier,Part Description - Cleaned,Category L1 - Cleaned,Category L2 - Cleaned,Category L3 - Cleaned,Category L4 - Cleaned,Prediction,prob_Abrasives,prob_Automation Electrical,prob_Automation Mechanical,prob_Automation Welding,"prob_Chemicals, Oils & Lubricants",prob_Cutting Tools,prob_Gasses,prob_General,prob_Office Supplies,prob_Safety,prob_Tools
1236748,304354,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,304354,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005675954,0.0004151338,0.99510765,0.0004493202,0.00045442831,0.00034526142,0.0009541109,0.00063661585,0.00033920773,0.0005195263,0.00021112846
1951997,"KQ2H08-00A FITTING, STR UNION",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h08 00a fitting str union,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.001677571,0.0015391754,0.9847003,0.0013846318,0.0013430977,0.0011768814,0.003060673,0.001959662,0.0010025539,0.0015354998,0.0006199039
1952056,"KQ2U08-00A FITTING, UNION Y",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2u08 00a fitting union y,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016778684,0.001585407,0.9848749,0.0013848774,0.0013433358,0.0009930632,0.0030612154,0.0019208405,0.0010027316,0.0015357721,0.0006200138
1991879,"KQ2H06-U03A FITTING, UNIFIT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2h06 u03a fitting unifit,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016784272,0.001585935,0.98520297,0.0013706085,0.0013437832,0.001041554,0.002734233,0.0018829304,0.0010030656,0.0015362836,0.0006202203
1992387,"KQ2L01-U02A FITTING, UNIFIT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2l01 u02a fitting unifit,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0016783428,0.0015858553,0.98515344,0.0014207986,0.0013437157,0.0010415016,0.0027340953,0.0018828358,0.0010030152,0.0015362063,0.0006201891
1992522,"KQ2L06-M5A FITTING, MALE ELBOW",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2l06 m5a fitting male elbow,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0019280954,0.0017170871,0.9819104,0.0015914094,0.0015436719,0.0011641724,0.0042449157,0.0022504323,0.0011522729,0.0017648069,0.00073274435
1992563,"KQ2L07-U01A FITTING, UNIFIT",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2l07 u01a fitting unifit,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.00157014,0.0014836143,0.9859191,0.0014900718,0.0012570857,0.00097435556,0.002557827,0.0017614485,0.0009383508,0.0014371664,0.00061085797
1992878,"KQ2L10-01AS FITTING, MALE ELBOW",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,kq2l10 01as fitting male elbow,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015705489,0.0013028419,0.98617584,0.0014531881,0.0012574131,0.00094828784,0.002558493,0.0017619071,0.00093859516,0.0014375405,0.0005953075
2004007,"T0604B-20  TUBING, NYL. 20M ROLL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,t0604b 20 tubing nyl 20m roll,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0015703689,0.0011485525,0.9860628,0.0013587436,0.001257269,0.001050735,0.0028650833,0.0017267553,0.00093848753,0.0014373758,0.00058377365
2004044,"T0806W-20  TUBING, NYL. 20M ROLL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,t0806w 20 tubing nyl 20m roll,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,0.0005307024,0.00038815095,0.99531907,0.00045918435,0.0004248912,0.0003141017,0.00096824893,0.00059548754,0.0003171596,0.00048575795,0.0001972849
