Supplier Part Number,Part Description,Category L1,Category L2,Category L3,Category L4,Supplier,Part Description - Cleaned,Category L1 - Cleaned,Category L2 - Cleaned,Category L3 - Cleaned,Category L4 - Cleaned,predicted_label,Actual L2,Actual L3,predicted_distance,predicted_similarity,topk_labels,topk_distances,auto_label_2.predicted_label,auto_label_2.predicted_similarity,target,delta,auto_label_2.delta
02081520,D-R732  PROX SWITCH,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d r732 prox switch,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,,,0.6560474395751954,0.34395256,"Automation Mechanical, Tools, Gasses","0.6560, 0.7316, 0.7738",Automation Mechanical,0.350645089,Automation Mechanical,0.0756,0.037
02158763,NJ07  FLOATING JOINT,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,nj07 floating joint,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,,,0.6379038572311402,0.362096143,"Automation Mechanical, Tools, Gasses","0.6379, 0.7058, 0.7622",Automation Mechanical,0.373035955,Automation Mechanical,0.0679,0.0218
02187760,"M127006 CLEVIS,1.3/4""/2"" M SERIES",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,m127006 clevis 1 3 4 2 m series,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,,,0.6524644494056702,0.347535551,"Automation Mechanical, Tools, Gasses","0.6525, 0.6928, 0.7624",Automation Mechanical,0.352482033,Automation Mechanical,0.0403,0.0157
02377379,D-R731  SENSOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d r731 sensor,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,,,0.6448419451713563,0.355158055,"Automation Mechanical, Tools, Gasses","0.6448, 0.7207, 0.7523",Automation Mechanical,0.368455875,Automation Mechanical,0.0759,0.0279
02764176,D-Z76L REED SWITCH,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d z76l reed switch,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,,,0.6500409126281739,0.349959087,"Automation Mechanical, Tools, Gasses","0.6500, 0.7084, 0.7551",Automation Mechanical,0.354898894,Automation Mechanical,0.0584,0.0123
02766612,"SY9320-5DZ-02T VALVE, DBL SOL",FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,sy9320 5dz 02t valve dbl sol,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,,,0.6364907503128052,0.36350925,"Automation Mechanical, Tools, Gasses","0.6365, 0.7249, 0.7544",Automation Mechanical,0.37138133,Automation Mechanical,0.0884,0.0262
02858346,D-A93SAPC SWITCH,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,d a93sapc switch,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,,,0.6612640142440797,0.338735986,"Automation Mechanical, Tools, Gasses","0.6613, 0.7295, 0.7821",Automation Mechanical,0.343875253,Automation Mechanical,0.0682,0.0398
03540328,AS3000-N02 SPEED CONTROL,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,as3000 n02 speed control,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,,,0.6178180694580079,0.382181931,"Automation Mechanical, Tools, Gasses","0.6178, 0.6969, 0.7719",Automation Mechanical,0.385140073,Automation Mechanical,0.0791,0.0628
03960706,SV4100-5W1U 2 POSITION SINGLE SOLENOID,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,sv4100 5w1u 2 position single solenoid,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,,,0.6425426363945008,0.357457364,"Automation Mechanical, Tools, Gasses","0.6425, 0.7109, 0.7638",Automation Mechanical,0.35841918,Automation Mechanical,0.0684,0.0279
04241335,PF2W711-N10-67N DIGITAL FLOW SWITCH FOR,FLUID POWER,PNEUMATIC PARTS,PNEUMATIC PARTS,PNEUMATIC PARTS,Motion,pf2w711 n10 67n digital flow switch for,fluid power,pneumatic parts,pneumatic parts,pneumatic parts,Automation Mechanical,,,0.6289979577064515,0.371002042,"Automation Mechanical, Tools, Gasses","0.6290, 0.7173, 0.7450",Automation Mechanical,0.377975261,Automation Mechanical,0.0883,0.0321
